Building Number,Building Name,Building,State,A10 Cleaning,A30 Utilities/Fuel,A40 Mechanic Oper-Maint,Grand Total,Overall Satisfaction,Occupancy,Building Sq Ft,Zip Code,Zip
NE0056ZZ,Federal Bg Uspo Cths,NE0056ZZ-Federal Bg Uspo Cths,NE,164461.77,52262.64,142269.42,358993.83,4,49,71507,69101-4000,69101
VT0026ZZ,Federal Bldg Uspo&Ct,VT0026ZZ-Federal Bldg Uspo&Ct,VT,95990.70,153117.70,108857.76,357966.16,4,77,65271,05602-2956,05602
FL0019ZZ,Sidney M. Aronovitz,FL0019ZZ-Sidney M. Aronovitz,FL,69850.22,111689.02,167369.28,348908.52,2,38,52248,33040-6890,33040
ND0047ZZ,Quentin N. Burdick C,ND0047ZZ-Quentin N. Burdick C,ND,151186.81,55241.36,142113.97,348542.14,4,30,95576,58102-4932,58102
TN0029ZZ,Ed Jones Fb-Ct,TN0029ZZ-Ed Jones Fb-Ct,TN,116081.52,74793.43,156302.10,347177.05,2,48,59500,38301-6123,38301
LA0070ZZ,Ellender Fed Bldg/Po,LA0070ZZ-Ellender Fed Bldg/Po,LA,133361.57,35364.13,176063.36,344789.06,2,75,62551,70360-4802,70360
NJ0015ZZ,U.S. Post Office & C,NJ0015ZZ-U.S. Post Office & C,NJ,209338.47,17797.05,117380.24,344515.76,5,78,87861,08102-1568,08102
OR0024ZZ,The Pioneer Cthse,OR0024ZZ-The Pioneer Cthse,OR,124019.56,54021.15,166244.24,344284.95,3,20,43333,97204-1336,97204
MN0076ZZ,Federal Building,MN0076ZZ-Federal Building,MN,122267.16,75025.72,144840.16,342133.04,5,85,41846,56601-3062,56601
MI0048ZZ,Federal Bldg,MI0048ZZ-Federal Bldg,MI,128852.71,103806.97,104098.91,336758.59,4,50,62777,48502-1200,48502
CA0902OO,Gsa Bldg 2,CA0902OO-Gsa Bldg 2,CA,90962.40,101567.85,143042.92,335573.17,2,30,44117,94025-3561,94025
SC0012AC,Po-Ct,SC0012AC-Po-Ct,SC,106293.18,160603.00,68073.18,334969.36,3,25,42025,29401-2202,29401
HI0001ZZ,Federal Building & U,HI0001ZZ-Federal Building & U,HI,107569.29,56010.07,167330.77,330910.13,4,30,35134,96720-2452,96720
MS0072ZZ,Wm M. Colmer Fb-Ct,MS0072ZZ-Wm M. Colmer Fb-Ct,MS,90444.93,106298.98,130902.26,327646.17,4,51,59363,39401-3446,39401
NC0085ZZ,Alton Lennon Fb-Ct,NC0085ZZ-Alton Lennon Fb-Ct,NC,119526.03,84243.52,122609.55,326379.10,4,53,56972,28401-3958,28401
AR0062ZZ,Hot Springs Post Off,AR0062ZZ-Hot Springs Post Off,AR,104026.96,57188.36,160740.69,321956.01,1,66,62383,71901-4141,71901
VA0062ZZ,Lewis F Powell Jr Us,VA0062ZZ-Lewis F Powell Jr Us,VA,128543.25,79356.59,112848.14,320747.98,2,80,92570,23219-3538,23219
KY0089ZZ,Carl D Perkins Fbct,KY0089ZZ-Carl D Perkins Fbct,KY,161283.97,76838.68,81541.40,319664.05,4,75,57852,41101-7542,41101
MI0097ZZ,Federal Bldg & Us Co,MI0097ZZ-Federal Bldg & Us Co,MI,101004.06,29636.18,186593.55,317233.79,4,25,43501,48060-5439,48060
SC0041ZZ,Donald Stuart Russel,SC0041ZZ-Donald Stuart Russel,SC,101766.86,71994.22,141037.91,314798.99,3,17,49568,29306-2355,29306
IL0302ZZ,U.S. Courthouse,IL0302ZZ-U.S. Courthouse,IL,151159.93,65087.43,97455.10,313702.46,4,50,46135,61802-3369,61802
AR0057ZZ,Texarkana Uspo/Court,AR0057ZZ-Texarkana Uspo/Court,AR,102404.58,71407.12,139126.33,312938.03,4,70,86190,71854-5957,71854
MO0602AF,Federal Ctr Bg 107,MO0602AF-Federal Ctr Bg 107,MO,38898.58,23816.52,244225.61,306940.71,4,20,28193,63120-1703,63120
TX0262TY,Tyler Federal Bldg/C,TX0262TY-Tyler Federal Bldg/C,TX,89077.17,63476.51,154295.22,306848.90,1,65,48156,75702-7212,75702
TX0006ZZ,Jm Jones Federal Bld,TX0006ZZ-Jm Jones Federal Bld,TX,94853.01,82380.56,129546.43,306780.00,5,42,62619,79101-1559,79101
AK0005AK,Federal,AK0005AK-Federal,AK,96703.28,76128.25,131215.33,304046.86,3,70,36611,99901-6534,99901
GA0044ZZ,Fb-Ct,GA0044ZZ-Fb-Ct,GA,118390.06,76351.53,108916.32,303657.91,4,50,48113,30501-3646,30501
IL0301ES,Melvin Price Fed. Bl,IL0301ES-Melvin Price Fed. Bl,IL,149776.71,51176.67,98853.67,299807.05,5,60,63188,62201-2954,62201
AR0079ZZ,Batesville Fob/Uspo/,AR0079ZZ-Batesville Fob/Uspo/,AR,76080.00,66447.82,156218.62,298746.44,2,25,47899,72501-5627,72501
FL0049ZZ,U. S. Courthouse,FL0049ZZ-U. S. Courthouse,FL,94769.53,140968.73,59050.18,294788.44,4,30,40296,32301-7750,32301
AR0066ZZ,Helena Post Office/C,AR0066ZZ-Helena Post Office/C,AR,57557.64,48983.32,184876.45,291417.41,3,22,34293,72342-3258,72342
CA0149ZZ,Federal Building,CA0149ZZ-Federal Building,CA,153113.31,49468.83,87195.60,289777.74,5,50,45771,90017-1204,90017
KY0088ZZ,J. C. Watts Fb,KY0088ZZ-J. C. Watts Fb,KY,84655.29,66027.97,125226.02,275909.28,4,65,54642,40601-1981,40601
GA0103ZZ,Frank M Scarlett Fb,GA0103ZZ-Frank M Scarlett Fb,GA,102918.98,61443.94,111023.93,275386.85,5,40,57632,31520-7073,31520
WV1251ZZ,Jennings Randolph Fe,WV1251ZZ-Jennings Randolph Fe,WV,116717.78,76070.56,82433.12,275221.46,4,45,53416,26241-3898,26241
AL0034ZZ,Po-Ct,AL0034ZZ-Po-Ct,AL,90720.78,71189.05,111702.31,273612.14,2,40,37248,35801-4869,35801
IL0069ES,Melvin Price Federal,IL0069ES-Melvin Price Federal,IL,133718.70,53347.58,86364.54,273430.82,5,35,56132,62201-2954,62201
WV0047ZZ,Fb & Us Courthouse,WV0047ZZ-Fb & Us Courthouse,WV,113662.42,65958.70,93323.96,272945.08,5,31,64824,26003-2976,26003
AZ0554BB,Bs Hd Hse Bldg 2,AZ0554BB-Bs Hd Hse Bldg 2,AZ,91947.61,71831.83,108233.83,272013.27,1,89,44757,85621-3205,85621
KY0059ZZ,Fb-Ct,KY0059ZZ-Fb-Ct,KY,81729.76,78247.79,111905.84,271883.39,5,25,48028,42001-6856,42001
WV0016FP,Sidney L Christie Fb,WV0016FP-Sidney L Christie Fb,WV,109494.72,2849.87,158992.81,271337.40,4,62,84000,25701-2014,25701
NM0015SN,Campos Federal Court,NM0015SN-Campos Federal Court,NM,76412.63,82192.92,107889.33,266494.88,4,27,42056,87501-1902,87501
WV0053ZZ,U.S. Courthouse,WV0053ZZ-U.S. Courthouse,WV,92639.80,71202.15,98886.91,262728.86,4,55,64462,25401-3286,25401
NM0042ZZ,Runnels Federal Bldg,NM0042ZZ-Runnels Federal Bldg,NM,80157.22,82718.22,97030.69,259906.13,4,48,57547,88001-3523,88001
OH0302ZZ,Nathaniel R Jones Fb,OH0302ZZ-Nathaniel R Jones Fb,OH,124507.70,64275.62,70757.85,259541.17,4,49,44476,44503-1677,44503
PA0600ZZ,New Construction Ann,PA0600ZZ-New Construction Ann,PA,81674.01,79144.49,97139.12,257957.62,4,13,53450,16501-0000,16501
MA0158ZZ,Hastings Keith Fb,MA0158ZZ-Hastings Keith Fb,MA,73129.58,107317.31,74005.65,254452.54,4,35,32428,02740-6110,02740
TX0182TY,Tyler Post Office/Co,TX0182TY-Tyler Post Office/Co,TX,86176.76,50647.73,116757.76,253582.25,5,12,46431,75702-7200,75702
MA0180ZZ,Silvio O. Conte Fb,MA0180ZZ-Silvio O. Conte Fb,MA,78984.55,58678.59,115818.04,253481.18,3,30,26873,00000-1201,00000
SC0011ZZ,U.S. Customhouse,SC0011ZZ-U.S. Customhouse,SC,107746.83,91775.06,53734.07,253255.96,2,45,36229,29401-2611,29401
MI0539BC,Child Care Facility,MI0539BC-Child Care Facility,MI,163023.01,36800.06,45891.40,245714.47,4,32,16795,49037-3002,49037
WA0824KF,Warehouse 1,WA0824KF-Warehouse 1,WA,22037.11,146901.79,76512.85,245451.75,5,100,170932,98001-7421,98001
WA0053ZZ,Wm O Douglas Fbusct,WA0053ZZ-Wm O Douglas Fbusct,WA,117429.56,48479.32,79093.15,245002.03,4,30,52984,98901-2715,98901
NM0035ZZ,Roswell Federal Buil,NM0035ZZ-Roswell Federal Buil,NM,87583.01,53911.65,102588.60,244083.26,4,42,56173,88201-4748,88201
CO0018ZZ,Wayne Aspinall Fbct,CO0018ZZ-Wayne Aspinall Fbct,CO,75218.01,23157.15,142408.74,240783.90,4,40,36907,81501-2550,81501
WV0050ZZ,Fb & Garage,WV0050ZZ-Fb & Garage,WV,77482.43,48738.62,110959.50,237180.55,2,75,40132,25880-1006,25880
DC1415NA,Office Building,DC1415NA-Office Building,DC,9665.57,177898.96,35139.21,222703.74,2,800,12837,20016-2705,20016
IN0057ZZ,Charles A Halleck Fe,IN0057ZZ-Charles A Halleck Fe,IN,76631.50,48459.65,97471.60,222562.75,4,11,45197,47901-1339,47901
VA0686ZZ,U. S. Courthouse,VA0686ZZ-U. S. Courthouse,VA,119847.44,66196.37,36477.64,222521.45,4,17,51959,22801-3819,22801
ND0014ZZ,Judge Bruce M. Van S,ND0014ZZ-Judge Bruce M. Van S,ND,56968.10,47645.83,114883.63,219497.56,4,25,39256,58701-3846,58701
WY0003ZZ,Ewing T. Kerr Fb-Ct,WY0003ZZ-Ewing T. Kerr Fb-Ct,WY,104758.84,46054.90,66830.55,217644.29,5,35,57605,82601-2534,82601
AZ0555BB,Bs Bldg 1,AZ0555BB-Bs Bldg 1,AZ,71385.37,55677.75,83993.75,211056.87,1,30,34483,85621-3205,85621
OR0045ZZ,David J. Wheeler Fb,OR0045ZZ-David J. Wheeler Fb,OR,102539.72,30267.88,75353.79,208161.39,5,46,44694,97814-3840,97814
MN0084ZZ,Social Security Adm,MN0084ZZ-Social Security Adm,MN,98567.03,52020.05,55604.90,206191.98,5,60,22035,55404-1938,55404
UT0010ZZ,Forest Service Bldg,UT0010ZZ-Forest Service Bldg,UT,82615.73,52285.70,69076.30,203977.73,2,25,46680,84401-2450,84401
ND0008ZZ,Ronald N. Davies Fed,ND0008ZZ-Ronald N. Davies Fed,ND,43395.26,62340.64,97686.67,203422.57,4,20,40173,58203-3738,58203
LA0029ZZ,Monroe Federal Bldg/,LA0029ZZ-Monroe Federal Bldg/,LA,60221.91,44765.82,97584.44,202572.17,3,25,40939,71201-7472,71201
OH0215ZZ,Thomas D Lambros Fob,OH0215ZZ-Thomas D Lambros Fob,OH,87794.57,56677.81,53747.65,198220.03,4,37,33290,44503-1780,44503
CA0773KK,Fed Cntr Bldg 2d,CA0773KK-Fed Cntr Bldg 2d,CA,67864.15,41924.97,85652.62,195441.74,4,10,22654,94501-7815,94501
GA0036ZZ,J. Roy Rowland Fed.,GA0036ZZ-J. Roy Rowland Fed.,GA,57859.01,55653.57,79752.43,193265.01,4,9,23891,31021-6799,31021
TX0163ZZ,Oc Fisher Fed Bldg/C,TX0163ZZ-Oc Fisher Fed Bldg/C,TX,55243.30,40680.56,91720.71,187644.57,4,12,33463,76903-6488,76903
PA0064ZZ,Fb & Courthouse,PA0064ZZ-Fb & Courthouse,PA,76697.54,62049.27,45753.21,184500.02,2,23,50036,16501-1127,16501
WY0004ZZ,Fob,WY0004ZZ-Fob,WY,71876.69,46385.73,64422.40,182684.82,4,55,29919,82001-3663,82001
NC0095ZZ,J. J. Hayes Fb,NC0095ZZ-J. J. Hayes Fb,NC,65950.90,32128.50,84303.37,182382.77,4,19,36524,28697-2465,28697
SC0076AC,Hollings Jud Ctr,SC0076AC-Hollings Jud Ctr,SC,102748.00,11777.60,66921.68,181447.28,3,10,25055,29401-2256,29401
ND0002ZZ,Fb,ND0002ZZ-Fb,ND,70948.27,41850.06,62995.92,175794.25,4,66,37637,58501-4082,58501
SC0004ZZ,G. Ross Anderson Jr.,SC0004ZZ-G. Ross Anderson Jr.,SC,75002.78,22741.63,73483.53,171227.94,3,7,28566,29624-1606,29624
WV0003ZZ,Elizabeth Kee Federa,WV0003ZZ-Elizabeth Kee Federa,WV,77209.46,49149.51,39880.12,166239.09,2,24,37619,24701-3066,24701
IL0220ZZ,Federal Building,IL0220ZZ-Federal Building,IL,72956.66,39744.93,49387.49,162089.08,3,55,32155,62201-2955,62201
AL0004ZZ,Fb-Ct,AL0004ZZ-Fb-Ct,AL,42897.67,35333.98,82229.67,160461.32,3,14,19397,36201-4665,36201
VA0053ZZ,Owen B Pickett Us Cu,VA0053ZZ-Owen B Pickett Us Cu,VA,78261.15,50536.84,29171.46,157969.45,3,47,18622,23510-1605,23510
MI0506BC,Bldg No 2-C Fed Cntr,MI0506BC-Bldg No 2-C Fed Cntr,MI,82517.24,20868.10,43781.47,147166.81,4,105,36303,49037-3085,49037
IL0200ZZ,Fed Bldg-Po-Us Cthse,IL0200ZZ-Fed Bldg-Po-Us Cthse,IL,66664.01,27769.84,51146.95,145580.80,4,30,30185,62812-1362,62812
NC0092ZZ,Fb-Po-Ct,NC0092ZZ-Fb-Po-Ct,NC,41162.02,41392.86,62159.05,144713.93,3,15,31420,28713-8093,28713
CA0185ZZ,Social Security Bldg,CA0185ZZ-Social Security Bldg,CA,74385.23,31491.49,38726.51,144603.23,5,35,12811,91106-1711,91106
IL0206ZZ,William L. Beatty Fb,IL0206ZZ-William L. Beatty Fb,IL,69463.93,26941.73,44510.65,140916.31,3,46,29670,62002-6169,62002
MI0504BC,Fed Ctr Bldg No 2a,MI0504BC-Fed Ctr Bldg No 2a,MI,80375.73,20326.45,38927.64,139629.82,5,197,35358,49037-3085,49037
PA0644ZZ,Erie Library,PA0644ZZ-Erie Library,PA,42623.30,40248.76,54321.22,137193.28,2,19,28892,16501-0000,16501
ME0035ZZ,Us Custom House,ME0035ZZ-Us Custom House,ME,36085.44,39728.32,60767.24,136581.00,4,7,19009,04101-4110,04101
MI0538BC,Bldg 1b Federal Ctr,MI0538BC-Bldg 1b Federal Ctr,MI,73273.14,18530.24,39712.77,131516.15,4,6,32463,49037-3001,49037
UT0014ZZ,J. Will Robinson Fb,UT0014ZZ-J. Will Robinson Fb,UT,30851.69,27337.94,71592.40,129782.03,5,13,28973,84601-4452,84601
CO0625AA,Dfc Bldg 15,CO0625AA-Dfc Bldg 15,CO,25867.54,49235.95,54123.20,129226.69,4,14,27749,80225-0546,80225
WA0094ZZ,Vancouver Federal Bl,WA0094ZZ-Vancouver Federal Bl,WA,53481.15,21223.57,53986.57,128691.29,5,48,20508,98660-2871,98660
WA0028ZZ,Richard B. Anderson,WA0028ZZ-Richard B. Anderson,WA,62136.80,25961.02,39981.96,128079.78,4,7,19194,98362-2600,98362
OK0039ZZ,C Albert Fed Bldg/Co,OK0039ZZ-C Albert Fed Bldg/Co,OK,39163.03,26808.99,58996.05,124968.07,5,4,22073,74501-5051,74501
WV0010ZZ,Forest Service Build,WV0010ZZ-Forest Service Build,WV,62163.93,29511.89,28948.31,120624.13,4,72,30604,26241-3932,26241
CO0631AA,Dfc Bldg 710,CO0631AA-Dfc Bldg 710,CO,39824.66,35511.39,43755.70,119091.75,3,60,33805,80225-0546,80225
KY0043AB,Fb-Ct,KY0043AB-Fb-Ct,KY,53549.53,10689.88,51485.31,115724.72,4,3,16380,40741-1924,40741
CO0654AA,Building 710a,CO0654AA-Building 710a,CO,42214.00,14149.85,54730.90,111094.75,4,55,54000,80225-0546,80225
AK0514ZZ,Fed Bldg Us Po,AK0514ZZ-Fed Bldg Us Po,AK,25829.60,17434.69,66742.80,110007.09,3,25,10703,99833-0001,99833
NE0018ZZ,Federal Bg,NE0018ZZ-Federal Bg,NE,41660.06,12279.46,54600.97,108540.49,5,20,27375,68801-5979,68801
WA0821KF,Warehouse 5,WA0821KF-Warehouse 5,WA,12916.48,44374.50,47737.08,105028.06,4,12,172341,98001-7424,98001
IL0222ZZ,Federal Building,IL0222ZZ-Federal Building,IL,59973.25,16527.49,26748.44,103249.18,4,20,18296,62864-4127,62864
CA0914OO,Rock Proc Lab,CA0914OO-Rock Proc Lab,CA,26838.27,36500.34,37989.22,101327.83,1,5,11457,94025-3561,94025
VT0028ZZ,Winston Prouty Fb,VT0028ZZ-Winston Prouty Fb,VT,35640.77,26677.90,37109.74,99428.41,4,28,10859,05452-3685,05452
CO0626AA,Dfc Bldg 16,CO0626AA-Dfc Bldg 16,CO,36211.71,14137.72,48349.84,98699.27,5,52,33625,80225-0000,80225
GA0081AC,"Juliette Gordon Low,","GA0081AC-Juliette Gordon Low,",GA,50705.74,1586.53,32658.39,84950.66,4,12,17142,31401-3642,31401
TX0973YS,Usbs Ysleta Bldg B -,TX0973YS-Usbs Ysleta Bldg B -,TX,40379.13,15461.99,28580.25,84421.37,5,8,8946,79907-6656,79907
OK0074ZZ,Lawton Federal Bldg/,OK0074ZZ-Lawton Federal Bldg/,OK,11749.93,36015.68,30873.84,78639.45,1,25,24439,73501-4628,73501
MI0505BC,Bldg 2b Federal Cts.,MI0505BC-Bldg 2b Federal Cts.,MI,44675.08,10631.81,21664.85,76971.74,5,1,19834,49037-3085,49037
CA0765KK,Federal Cntr Bldg 2c,CA0765KK-Federal Cntr Bldg 2c,CA,27661.22,14977.89,32580.43,75219.54,5,12,8439,94501-7815,94501
CA0763KK,Federal Cntr Bldg 2b,CA0763KK-Federal Cntr Bldg 2b,CA,27571.15,14710.76,30054.12,72336.03,1,10,8376,94501-7815,94501
ND0032ZZ,Bdr Patrol Sector Hq,ND0032ZZ-Bdr Patrol Sector Hq,ND,33192.40,7449.75,30989.77,71631.92,4,5,11105,58201-6348,58201
LA0811NE,Bpsh New Orleans Bld,LA0811NE-Bpsh New Orleans Bld,LA,17901.22,33389.60,19702.08,70992.90,3,5,4206,70114-1806,70114
OH0100ZZ,Donald J. Pease Fede,OH0100ZZ-Donald J. Pease Fede,OH,24815.02,14394.15,29739.38,68948.55,5,5,5934,44256-2215,44256
ID0027ZZ,Social Security,ID0027ZZ-Social Security,ID,25430.89,13815.99,21177.32,60424.20,3,16,7773,83501-4004,83501
MO0613AF,Fed Ctr Bg 105e,MO0613AF-Fed Ctr Bg 105e,MO,26865.11,9240.63,21067.24,57172.98,4,19,18411,63120-1703,63120
AZ0632FF,Brdr Patl Sect Hq Ga,AZ0632FF-Brdr Patl Sect Hq Ga,AZ,26512.35,15720.10,13848.54,56080.99,4,4,6057,85713-6033,85713
MO0547AD,"Fed Bldg, No.6","MO0547AD-Fed Bldg, No.6",MO,25585.50,13794.68,11433.30,50813.48,5,50,17902,64131-3009,64131
MO0614AF,Fed Ctr Bg 105f,MO0614AF-Fed Ctr Bg 105f,MO,21472.86,8460.46,20130.09,50063.41,3,41,17230,63120-1703,63120
MO0610AF,Fed Ctr Bg 104e,MO0610AF-Fed Ctr Bg 104e,MO,26716.48,1323.52,21556.52,49596.52,4,28,17650,63120-1703,63120
DC0120AA,Jackson Pl Complex,DC0120AA-Jackson Pl Complex,DC,22857.54,4034.42,22133.14,49025.10,4,5,475,20006-4921,20006
MO0605AF,Fed Ctr Bg 102e,MO0605AF-Fed Ctr Bg 102e,MO,20359.68,9597.45,17745.38,47702.51,2,4,13749,63120-1703,63120
MO0611AF,Fed Ctr Bg 104f,MO0611AF-Fed Ctr Bg 104f,MO,19417.73,8122.82,18969.86,46510.41,4,50,16185,63120-1703,63120
MI0724SB,Land Port Of Entry,MI0724SB-Land Port Of Entry,MI,17599.69,1267.90,23583.20,42450.79,2,92,49616,49783-0000,49783
AK0032AA,Fed Bld-Usch-Annex,AK0032AA-Fed Bld-Usch-Annex,AK,32249.93,6191.00,2705.75,41146.68,2,150,64822,99513-7502,99513
CO0518AA,Dfc Bldg 44,CO0518AA-Dfc Bldg 44,CO,10340.84,13437.73,12925.54,36704.11,3,15,9382,80225-0546,80225
MO0607AF,Fed Ctr Bg 103d,MO0607AF-Fed Ctr Bg 103d,MO,7201.63,6932.75,19323.91,33458.29,2,3,13814,63120-1703,63120
MO0532AD,Fed Bldg No 4,MO0532AD-Fed Bldg No 4,MO,16864.79,8495.34,6633.57,31993.70,5,52,11026,64131-3009,64131
DC0126AA,Jackson Pl Complex,DC0126AA-Jackson Pl Complex,DC,12947.40,1106.80,11438.72,25492.92,5,8,390,20006-4911,20006
CA0299JJ,Bs Warehouse Bldg,CA0299JJ-Bs Warehouse Bldg,CA,8620.32,3108.80,10678.62,22407.74,3,3,2173,92154-7209,92154
MO0546AD,Federal Building 52,MO0546AD-Federal Building 52,MO,7697.12,7974.21,5839.26,21510.59,3,1,10348,64131-3009,64131
